test_id,planned_route,profile_applicability,evidence_kind,canonical_owner,canonical_record
"TEST-0001","CSharpCandidate","protocol-authority|consumer","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0001-common-development-protocol/test-cases.md#test-0001"
"TEST-0002","CSharpCandidate","protocol-authority|consumer","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0001-common-development-protocol/test-cases.md#test-0002"
"TEST-0003","CSharpCandidate","protocol-authority|consumer","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0001-common-development-protocol/test-cases.md#test-0003"
"TEST-0004","CSharpCandidate","protocol-authority|consumer","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0001-common-development-protocol/test-cases.md#test-0004"
"TEST-0005","CSharpCandidate","protocol-authority|consumer","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0001-common-development-protocol/test-cases.md#test-0005"
"TEST-0006","CSharpCandidate","protocol-authority","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0001-common-development-protocol/test-cases.md#test-0006"
"TEST-0007","CSharpCandidate","protocol-authority","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0001-common-development-protocol/test-cases.md#test-0007"
"TEST-0008","CSharpCandidate","protocol-authority|consumer","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0001-common-development-protocol/test-cases.md#test-0008"
"TEST-0009","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/consumer-update/protocol-update.tests.ps1","docs/features/FEAT-0002-semi-automatic-consumer-updates/test-cases.md#test-0009"
"TEST-0010","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/consumer-update/protocol-update.tests.ps1","docs/features/FEAT-0002-semi-automatic-consumer-updates/test-cases.md#test-0010"
"TEST-0011","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/consumer-update/protocol-update.tests.ps1","docs/features/FEAT-0002-semi-automatic-consumer-updates/test-cases.md#test-0011"
"TEST-0012","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/consumer-update/protocol-update.tests.ps1","docs/features/FEAT-0002-semi-automatic-consumer-updates/test-cases.md#test-0012"
"TEST-0013","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/consumer-update/protocol-update.tests.ps1","docs/features/FEAT-0002-semi-automatic-consumer-updates/test-cases.md#test-0013"
"TEST-0014","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/consumer-update/protocol-update.tests.ps1","docs/features/FEAT-0002-semi-automatic-consumer-updates/test-cases.md#test-0014"
"TEST-0015","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/consumer-update/protocol-update.tests.ps1","docs/features/FEAT-0002-semi-automatic-consumer-updates/test-cases.md#test-0015"
"TEST-0016","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/consumer-update/protocol-update.tests.ps1","docs/features/FEAT-0002-semi-automatic-consumer-updates/test-cases.md#test-0016"
"TEST-0017","CSharpCandidate","protocol-authority|consumer","ExecutableSuite","tests/capabilities/consumer-update/protocol-update.tests.ps1","docs/features/FEAT-0002-semi-automatic-consumer-updates/test-cases.md#test-0017"
"TEST-0018","CSharpCandidate","protocol-authority|consumer","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0001-common-development-protocol/test-cases.md#test-0018"
